iter	MultiClass
416	0.101149733
417	0.1010566272
418	0.1008689317
419	0.1006949398
420	0.1004934573
421	0.1003496681
422	0.1001129432
423	0.09994816454
424	0.09974240859
425	0.09960541745
426	0.09931933158
427	0.09915488355
428	0.09882762905
429	0.098608137
430	0.09834372616
431	0.09811859897
432	0.09804443039
433	0.09795696972
434	0.09747737966
435	0.09734483115
436	0.09720374926
437	0.09699996994
438	0.09680765687
439	0.09662645289
440	0.09638377612
441	0.09619540796
442	0.09608447401
443	0.09576500122
444	0.09558363106
445	0.09537920136
446	0.09517280372
447	0.09499576611
448	0.09480157207
449	0.09462675246
450	0.09448726163
451	0.09440395308
452	0.09419534013
453	0.09404623873
454	0.09393260858
455	0.09379331494
456	0.09368583736
457	0.09360209219
458	0.09323643814
459	0.09309785456
460	0.09299499342
461	0.09278692121
462	0.09269817915
463	0.09260290893
464	0.09245101178
465	0.09222361122
466	0.0920583554
467	0.09187840997
468	0.0917622534
469	0.09166340219
470	0.09155053123
471	0.09136146286
472	0.09117984025
473	0.09109528992
474	0.09096450646
475	0.09087812664
476	0.09070704287
477	0.09056383518
478	0.0904753887
479	0.09037288156
480	0.08990310659
481	0.08969852256
482	0.08956403822
483	0.08942748965
484	0.08925788649
485	0.08916975653
486	0.08899348408
487	0.08889047377
488	0.08877618095
489	0.08871120828
490	0.08860954656
491	0.08848358105
492	0.08833923516
493	0.08816270929
494	0.08795760801
495	0.08779760851
496	0.08764769662
497	0.08749765806
498	0.08733328102
499	0.08715439063
500	0.08700626807
501	0.08695527834
502	0.08682808501
503	0.08636381368
504	0.08621430019
505	0.08609722538
506	0.08605009728
507	0.08585603553
508	0.08569749908
509	0.08558007286
510	0.08533778891
511	0.08512911413
512	0.08502257586
513	0.08457480481
514	0.08449744273
515	0.08435801511
516	0.08428853424
517	0.08411973275
518	0.08380301244
519	0.08366662148
520	0.08331511624
521	0.08322280353
522	0.08312740566
523	0.08291093433
524	0.08281452097
525	0.08267284015
526	0.08254864175
527	0.08243251979
528	0.08227941628
529	0.08220161158
530	0.08210132225
531	0.08203204243
532	0.08186356829
533	0.08181414776
534	0.08174024556
535	0.08161596857
536	0.08152289041
537	0.08139058551
538	0.08127330843
539	0.08112750445
540	0.08094079701
541	0.08083621373
542	0.08056157691
543	0.08048863924
544	0.08032807907
545	0.08016399268
546	0.08009661369
547	0.07991403033
548	0.07970153733
549	0.07950783743
550	0.07935754695
551	0.07922831372
552	0.07915518639
553	0.07904970966
554	0.07891845154
555	0.07875379672
556	0.07868436705
557	0.07862740424
558	0.07850729254
559	0.07842100322
560	0.07831129015
561	0.07826827422
562	0.07818277861
563	0.0780299553
564	0.07795060014
565	0.07781928425
566	0.07771749474
567	0.07750120705
568	0.0772712599
569	0.0771978894
570	0.07707659066
571	0.07696557406
572	0.076797232
573	0.07656798482
574	0.07652997573
575	0.07649159858
576	0.07628739999
577	0.0761326735
578	0.07593868372
579	0.07582719374
580	0.07576229539
581	0.07567934401
582	0.07553431589
583	0.07544676677
584	0.07533859655
585	0.07526837152
586	0.07517073498
587	0.07506651512
588	0.07483658888
589	0.07462941346
590	0.07445517899
591	0.07439164117
592	0.0741753764
593	0.07403152357
594	0.07393857417
595	0.07387391018
596	0.07376929283
597	0.07357565312
598	0.07353124469
599	0.0734257101
600	0.07334566588
601	0.07327991434
602	0.07322408229
603	0.07316890511
604	0.0730971857
605	0.07306063429
606	0.07298901945
607	0.07295449246
608	0.07288476111
609	0.07272789187
610	0.07262761371
611	0.07248545129
612	0.07242925497
613	0.07232106277
614	0.07222829321
615	0.07210781864
616	0.07199027238
617	0.07182963942
618	0.07172547072
619	0.07169145346
620	0.07159806971
621	0.07149206569
622	0.07143172418
623	0.07135474381
624	0.07125080622
1526935319
639	0.1523604904
640	0.1522956512
641	0.1521782482
642	0.1520700539
643	0.1518900404
644	0.1516642669
645	0.1515490996
646	0.1513759092
647	0.1512164659
648	0.1510032221
649	0.1507226793
650	0.1504050585
651	0.1502610881
652	0.150061233
653	0.1498735718
654	0.1496536157
655	0.1495167205
