iter	Passed	Remaining
507	67147	65032
508	67250	64872
509	67374	64732
510	67485	64580
511	67602	64433
512	67721	64289
513	67855	64158
514	67967	64008
515	68089	63867
516	68220	63734
517	68341	63591
518	68465	63453
519	68614	63336
520	68765	63222
521	68901	63093
522	69020	62950
523	69140	62807
524	69272	62674
525	69405	62543
526	69526	62402
527	69641	62255
528	69770	62120
529	69902	61989
530	70018	61842
531	70135	61698
532	70263	61562
533	70379	61417
534	70486	61264
535	70588	61106
536	70720	60975
537	70847	60839
538	70959	60690
539	71080	60549
540	71202	60409
541	71335	60279
542	71451	60135
543	71585	60005
544	71701	59861
545	71836	59732
546	71952	59587
547	72071	59445
548	72190	59303
549	72306	59159
550	72421	59015
551	72551	58882
552	72653	58727
553	72774	58587
554	72906	58456
555	73019	58310
556	73141	58171
557	73256	58027
558	73357	57872
559	73504	57753
560	73636	57622
561	73773	57496
562	73897	57359
563	74035	57232
564	74193	57122
565	74310	56980
566	74434	56842
567	74534	56687
568	74657	56550
569	74771	56406
570	74880	56259
571	75026	56138
572	75158	56007
573	75293	55880
574	75462	55776
575	75644	55682
576	75743	55527
577	75985	55477
578	76152	55371
579	76371	55303
580	76496	55166
581	76603	55017
582	76720	54875
583	76848	54741
584	76984	54612
585	77103	54472
586	77224	54333
587	77343	54193
588	77493	54074
589	77617	53937
590	77740	53799
591	77877	53672
592	77996	53531
593	78125	53399
594	78252	53264
595	78401	53144
596	78694	53121
597	79051	53141
598	79239	53046
599	79375	52917
600	79515	52789
601	79626	52643
602	79756	52509
603	79889	52377
604	80010	52238
605	80129	52097
606	80247	51955
607	80375	51821
608	80495	51681
609	80628	51549
610	80773	51425
611	80895	51286
612	81010	51143
613	81123	50999
614	81241	50858
615	81349	50711
616	81483	50580
617	81591	50433
618	81709	50292
619	81833	50156
620	81940	50008
621	82053	49865
622	82164	49720
623	82314	49600
624	82443	49466
47121
636	82450	46985
637	82567	46848
638	82670	46704
639	82796	46573
640	82903	46431
641	83012	46290
642	83157	46170
643	83292	46043
644	83428	45917
645	83561	45790
646	83683	45657
647	83806	45524
648	83944	45399
649	84071	45269
650	84214	45147
651	84319	45005
652	84447	44874
653	84585	44750
654	84703	44614
655	84836	44487
